16;43.1;44.4;45.7;47.0;48.3;49.6;51.0;Laki-laki
17;43.2;44.6;45.9;47.2;48.5;49.8;51.2;Laki-laki
18;43.4;44.7;46.0;47.4;48.7;50.0;51.4;Laki-laki
19;43.5;44.9;46.2;47.5;48.9;50.2;51.5;Laki-laki
20;43.7;45.0;46.4;47.7;49.0;50.4;51.7;Laki-laki
21;43.8;45.2;46.5;47.8;49.2;50.5;51.9;Laki-laki
22;43.9;45.3;46.6;48.0;49.3;50.7;52.0;Laki-laki
23;44.1;45.4;46.8;48.1;49.5;50.8;52.2;Laki-laki
24;44.2;45.5;46.9;48.3;49.6;51.0;52.3;Laki-laki
25;44.3;45.6;47.0;48.4;49.7;51.1;52.5;Laki-laki
26;44.4;45.8;47.1;48.5;49.9;51.2;52.6;Laki-laki
27;44.5;45.9;47.2;48.6;50.0;51.4;52.7;Laki-laki
28;44.6;46.0;47.3;48.7;50.1;51.5;52.9;Laki-laki
29;44.7;46.1;47.4;48.8;50.2;51.6;53.0;Laki-laki
30;44.8;46.1;47.5;48.9;50.3;51.7;53.1;Laki-laki
31;44.8;46.2;47.6;49.0;50.4;51.8;53.2;Laki-laki
32;44.9;46.3;47.7;49.1;50.5;51.9;53.3;Laki-laki
33;45.0;46.4;47.8;49.2;50.6;52.0;53.4;Laki-laki
34;45.1;46.5;47.9;49.3;50.7;52.1;53.5;Laki-laki
35;45.1;46.6;48.0;49.4;50.8;52.2;53.6;Laki-laki
36;45.2;46.6;48.0;49.5;50.9;52.3;53.7;Laki-laki
37;45.3;46.7;48.1;49.5;51.0;52.4;53.8;Laki-laki
38;45.3;46.8;48.2;49.6;51.0;52.5;53.9;Laki-laki
39;45.4;46.8;48.2;49.7;51.1;52.5;54.0;Laki-laki
40;45.4;46.9;48.3;49.7;51.2;52.6;54.1;Laki-laki
41;45.5;46.9;48.4;49.8;51.3;52.7;54.1;Laki-laki
42;45.5;47.0;48.4;49.9;51.3;52.8;54.2;Laki-laki
43;45.6;47.0;48.5;49.9;51.4;52.8;54.3;Laki-laki
44;45.6;47.1;48.5;50.0;51.4;52.9;54.3;Laki-laki
45;45.7;47.1;48.6;50.1;51.5;53.0;54.4;Laki-laki
46;45.7;47.2;48.7;50.1;51.6;53.0;54.5;Laki-laki
47;45.8;47.2;48.7;50.2;51.6;53.1;54.5;Laki-laki
48;45.8;47.3;48.7;50.2;51.7;53.1;54.6;Laki-laki
49;45.9;47.3;48.8;50.3;51.7;53.2;54.7;Laki-laki
50;45.9;47.4;48.8;50.3;51.8;53.2;54.7;Laki-laki
51;45.9;47.4;48.9;50.4;51.8;53.3;54.8;Laki-laki
52;46.0;47.5;48.9;50.4;51.9;53.4;54.8;Laki-laki
53;46.0;47.5;49.0;50.4;51.9;53.4;54.9;Laki-laki
54;46.1;47.5;49.0;50.5;52.0;53.5;54.9;Laki-laki
55;46.1;47.6;49.1;50.5;52.0;53.5;55.0;Laki-laki
56;46.1;47.6;49.1;50.6;52.1;53.5;55.0;Laki-laki
57;46.2;47.6;49.1;50.6;52.1;53.6;55.1;Laki-laki
58;46.2;47.7;49.2;50.7;52.1;53.6;55.1;Laki-laki
59;46.2;47.7;49.2;50.7;52.2;53.7;55.2;Laki-laki
60;46.3;47.7;49.2;50.7;52.2;53.7;55.2;Laki-laki
